校下・地区,センター,燃やすごみ,燃やさないごみ,資源,あきびん
今市,由布大分環境衛生組合,火 金,水2,月2 月4,水1
石合,由布大分環境衛生組合,火 金,水2,月2 月4,水1
石合原,由布大分環境衛生組合,火 金,水2,月2 月4,水1
一本櫟,由布大分環境衛生組合,火 金,水2,月2 月4,水1
今市町,由布大分環境衛生組合,火 金,水2,月2 月4,水1
小原,由布大分環境衛生組合,火 金,水2,月2 月4,水1
上石合,由布大分環境衛生組合,火 金,水2,月2 月4,水1
杵ヶ原,由布大分環境衛生組合,火 金,水2,月2 月4,水1
白家,由布大分環境衛生組合,火 金,水2,月2 月4,水1
摺,由布大分環境衛生組合,火 金,水2,月2 月4,水1
高沢,由布大分環境衛生組合,火 金,水2,月2 月4,水1
荷小野,由布大分環境衛生組合,火 金,水2,月2 月4,水1
練ヶ迫,由布大分環境衛生組合,火 金,水2,月2 月4,水1
山中,由布大分環境衛生組合,火 金,水2,月2 月4,水1
